module	n	sigma_resid	omnibus_F	omnibus_df1	omnibus_df2	omnibus_p_F	omnibus_BH_q_F1	omnibus_F1_gate_pass	kruskal_H	kruskal_p	contrast	estimate	d	est_ci_lo	est_ci_hi	d_ci_lo	d_ci_hi	perm_p	BH_q_F2	b3_category	category_reason
M3_HOXA11	506	2.8882131326680067	5.58606513532747	3	499	0.0008956498362402105	0.001468145109690874	True	17.79890282317706	0.0004839133904847387	C1	0.1084539935292787	0.03755055065105032	-0.54268505446217	0.7260176777527028	-0.1902419351146414	0.25320390685219557	0.7081459270364817	0.7370498424257259	CAT5_CLEAN_NULL	H3 equivalence (C1) CI-in-SESOI
M3_HOXA11	506	2.8882131326680067	5.58606513532747	3	499	0.0008956498362402105	0.001468145109690874	True	17.79890282317706	0.0004839133904847387	C2	-1.4214252110694594	-0.49214692468225435	-2.096712242596958	-0.7332132065449611	-0.7442875330471899	-0.2531448122673096	0.0004997501249375312	0.001960558182447238	DESCRIPTIVE	|d|<0.5
M3_HOXA11	506	2.8882131326680067	5.58606513532747	3	499	0.0008956498362402105	0.001468145109690874	True	17.79890282317706	0.0004839133904847387	C3	0.00426484490972967	0.0014766378774096877	-0.945801951481907	0.984576445449072	-0.3261387392591506	0.3468708688194628	0.9940029985007496	0.9940029985007496	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_HOXA13	506	4.6321550685451935	7.647485535044996	3	499	5.249893582381232e-05	0.00018374627538334312	True	21.72038511614278	7.457952428660583e-05	C1	0.9309825989832547	0.2009826064125365	-0.0072371804588664355	1.8740592324663248	-0.001581323516443059	0.4089141029623451	0.046476761619190406	0.08778943861402633	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_HOXA13	506	4.6321550685451935	7.647485535044996	3	499	5.249893582381232e-05	0.00018374627538334312	True	21.72038511614278	7.457952428660583e-05	C2	-2.2345126945494282	-0.48239159991058217	-3.411193359636704	-1.0071931721515306	-0.7512072084719418	-0.21722923771826144	0.0004997501249375312	0.001960558182447238	DESCRIPTIVE	|d|<0.5
M3_HOXA13	506	4.6321550685451935	7.647485535044996	3	499	5.249893582381232e-05	0.00018374627538334312	True	21.72038511614278	7.457952428660583e-05	C3	0.42439692798997797	0.09161975834355368	-1.0960657244528875	1.9550330022622942	-0.2395607831424812	0.428699899172488	0.567216391804098	0.6428452440446444	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_HOXA9	506	4.768459642753491	11.396341964484568	3	499	3.065580699903657e-07	2.1459064899325598e-06	True	31.929390817655303	5.415890558806897e-07	C1	-1.4094017912964154	-0.2955675200980778	-2.401687728342462	-0.43674970009003944	-0.5142365951154682	-0.09200854381934977	0.0034982508745627187	0.008920539730134933	DESCRIPTIVE	|d|<0.5
M3_HOXA9	506	4.768459642753491	11.396341964484568	3	499	3.065580699903657e-07	2.1459064899325598e-06	True	31.929390817655303	5.415890558806897e-07	C2	-3.0805173590624655	-0.64601938358519	-4.2773001654588665	-1.8490839165596866	-0.9211556693192235	-0.38174878936338896	0.0004997501249375312	0.001960558182447238	CAT2_DEPLETION	
M3_HOXA9	506	4.768459642753491	11.396341964484568	3	499	3.065580699903657e-07	2.1459064899325598e-06	True	31.929390817655303	5.415890558806897e-07	C3	-1.1341436668087042	-0.23784277351119745	-2.6960184377007477	0.5359322101530265	-0.5732761678521653	0.1118330425419138	0.14742628685657172	0.23092998955067923	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_LHX1	506	3.114392474323656	30.695500287342032	3	499	3.174604486465194e-18	6.666669421576908e-17	True	45.76303251303307	6.369101032917326e-10	C1	2.9948643724416097	0.9616207324967918	2.331749155175343	3.6453883885569414	0.7344898379913433	1.2071228317759897	0.0004997501249375312	0.001960558182447238	CAT1_ENRICHMENT	
M3_LHX1	506	3.114392474323656	30.695500287342032	3	499	3.174604486465194e-18	6.666669421576908e-17	True	45.76303251303307	6.369101032917326e-10	C2	-0.8645189076719667	-0.27758829845609356	-1.5868660663003042	-0.14774254274888662	-0.5182264179785355	-0.04752641179501873	0.017991004497751123	0.03823088455772113	DESCRIPTIVE	|d|<0.5
M3_LHX1	506	3.114392474323656	30.695500287342032	3	499	3.174604486465194e-18	6.666669421576908e-17	True	45.76303251303307	6.369101032917326e-10	C3	-0.20432072674005508	-0.06560532380698963	-1.054105613550269	0.647243071837089	-0.3427302422241813	0.20722144147971014	0.6956521739130435	0.7370498424257259	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_MSX1	506	5.507407841718009	8.634691092384008	3	499	1.3497575330565364e-05	5.6689816388374524e-05	True	39.92310875072326	1.106255718551712e-08	C1	-2.2470216812332198	-0.4079998695960516	-3.4031826886720014	-1.125585652282262	-0.6345032366440106	-0.2032571644942394	0.0004997501249375312	0.001960558182447238	DESCRIPTIVE	|d|<0.5
M3_MSX1	506	5.507407841718009	8.634691092384008	3	499	1.3497575330565364e-05	5.6689816388374524e-05	True	39.92310875072326	1.106255718551712e-08	C2	-2.0332691062492954	-0.36918803994276683	-3.402746266889009	-0.6126439160553852	-0.6349550744167598	-0.11181594465112978	0.001999000499750125	0.005997001499250375	DESCRIPTIVE	|d|<0.5
M3_MSX1	506	5.507407841718009	8.634691092384008	3	499	1.3497575330565364e-05	5.6689816388374524e-05	True	39.92310875072326	1.106255718551712e-08	C3	-1.1966872044964436	-0.2172868323699708	-3.0380395230486297	0.7270838497081862	-0.5556033194348102	0.13228580883475227	0.20539730134932535	0.29929321053758834	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_MSX2	506	6.66762800175943	6.516434458359807	3	499	0.00024912855852055895	0.0005812999698813042	True	45.628375177732096	6.803071476213129e-10	C1	-2.432880377176682	-0.3648794408648326	-3.9165111854077885	-1.0243161456728485	-0.6029594050881366	-0.15534560587031238	0.0004997501249375312	0.001960558182447238	DESCRIPTIVE	|d|<0.5
M3_MSX2	506	6.66762800175943	6.516434458359807	3	499	0.00024912855852055895	0.0005812999698813042	True	45.628375177732096	6.803071476213129e-10	C2	-0.7731927563274263	-0.11596219167047098	-2.477953693854304	0.9486296819637731	-0.3761408070082686	0.1444486256988455	0.344327836081959	0.4502748625687156	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_MSX2	506	6.66762800175943	6.516434458359807	3	499	0.00024912855852055895	0.0005812999698813042	True	45.628375177732096	6.803071476213129e-10	C3	-2.0426418738870904	-0.30635210502866767	-4.374720880975476	0.29761576333094003	-0.6674764451746339	0.0446850322760371	0.057971014492753624	0.10194902548725639	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_PAX2	506	4.558486581638033	0.9354844354467572	3	499	0.42327092599124094	0.4232709259912409	False	18.94848276801622	0.0002801870360559778	C1	-0.36018090414905346	-0.07901326409512587	-1.3146929972558927	0.6219748183878939	-0.2961410147271347	0.13628154710680668			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
M3_PAX2	506	4.558486581638033	0.9354844354467572	3	499	0.42327092599124094	0.4232709259912409	False	18.94848276801622	0.0002801870360559778	C2	-0.505656615640734	-0.11092642406310055	-1.6695362239398002	0.711119534042175	-0.37077596614642394	0.15854487481406204			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
M3_PAX2	506	4.558486581638033	0.9354844354467572	3	499	0.42327092599124094	0.4232709259912409	False	18.94848276801622	0.0002801870360559778	C3	0.7253951054677383	0.15913068788875911	-0.9278425840172594	2.311531141476701	-0.2030839905475564	0.5153647331746376			DESCRIPTIVE	omnibus F1 gate FAIL -> descriptive/exploratory
M3_PAX8	506	4.823278858927491	15.717343405946096	3	499	8.810293651302956e-10	9.250808333868104e-09	True	30.258483167112445	1.217638127950801e-06	C1	3.3428904413147293	0.6930742631907577	2.30833926930423	4.330936684947802	0.4734053139677799	0.9241928046490814	0.0004997501249375312	0.001960558182447238	CAT1_ENRICHMENT	
M3_PAX8	506	4.823278858927491	15.717343405946096	3	499	8.810293651302956e-10	9.250808333868104e-09	True	30.258483167112445	1.217638127950801e-06	C2	-1.1872375555572265	-0.24614740102777757	-2.479514824392357	0.030170727388607776	-0.5189401573691824	0.006107785162582562	0.03798100949525238	0.07748125937031486	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_PAX8	506	4.823278858927491	15.717343405946096	3	499	8.810293651302956e-10	9.250808333868104e-09	True	30.258483167112445	1.217638127950801e-06	C3	-0.6762442593343998	-0.14020426334727204	-2.3138248827741785	0.8429338583541286	-0.48460832476504967	0.1777545681104027	0.4147926036981509	0.5159615314294073	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_SALL1	506	3.3333757197786515	4.2612874560630924	3	499	0.005495077277589737	0.006788036637022617	True	11.086257318157777	0.011268477379445484	C1	1.1082525661577791	0.3324715421612812	0.34828953048072636	1.8275220650936506	0.10575703623692818	0.559828607610132	0.001999000499750125	0.005997001499250375	DESCRIPTIVE	|d|<0.5
M3_SALL1	506	3.3333757197786515	4.2612874560630924	3	499	0.005495077277589737	0.006788036637022617	True	11.086257318157777	0.011268477379445484	C2	0.32672921398109955	0.0980175178100822	-0.5022069197309419	1.1522194412104583	-0.153236406904956	0.34920229020589905	0.4077961019490255	0.5159615314294073	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_SALL1	506	3.3333757197786515	4.2612874560630924	3	499	0.005495077277589737	0.006788036637022617	True	11.086257318157777	0.011268477379445484	C3	-0.9677087823536596	-0.2903089431568545	-2.042482789341434	0.12541461447060387	-0.6221006539562608	0.038125092958638265	0.0814592703648176	0.1384807596201899	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_SIX1	506	4.457352053646621	6.549062932105642	3	499	0.00023818723298096335	0.0005812999698813042	True	34.26990808757819	1.7375611984382822e-07	C1	-1.605266806207193	-0.3601391110432712	-2.5419317237667034	-0.6222953917460305	-0.5799798168889673	-0.1397420652168001	0.0004997501249375312	0.001960558182447238	DESCRIPTIVE	|d|<0.5
M3_SIX1	506	4.457352053646621	6.549062932105642	3	499	0.00023818723298096335	0.0005812999698813042	True	34.26990808757819	1.7375611984382822e-07	C2	-1.5321119696374552	-0.34372693724831843	-2.5932635431560858	-0.39992297836349355	-0.592153505830553	-0.08993578086829179	0.001999000499750125	0.005997001499250375	DESCRIPTIVE	|d|<0.5
M3_SIX1	506	4.457352053646621	6.549062932105642	3	499	0.00023818723298096335	0.0005812999698813042	True	34.26990808757819	1.7375611984382822e-07	C3	-0.06222338504769809	-0.013959719649425556	-1.5893158298421095	1.4903314132010321	-0.3604365716408033	0.3372485442968226	0.928535732133933	0.9471064467766116	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_SOX17	506	6.363186840350463	5.359019295160928	3	499	0.00122333258905545	0.00171266562467763	True	34.66098804268381	1.4366477467607487e-07	C1	-1.3011667189161742	-0.20448350041604474	-2.603749130753732	-0.034444118381793946	-0.4116781150634092	-0.005513538150080333	0.043478260869565216	0.08528428093645485	DESCRIPTIVE	F2 q>0.05; |d|<0.5
M3_SOX17	506	6.363186840350463	5.359019295160928	3	499	0.00122333258905545	0.00171266562467763	True	34.66098804268381	1.4366477467607487e-07	C2	-0.578386734377923	-0.09089576479355231	-2.1714701977856676	1.1149518405372474	-0.34306500293487874	0.17760586836032238	0.45577211394302847	0.5405669258394059	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_SOX17	506	6.363186840350463	5.359019295160928	3	499	0.00122333258905545	0.00171266562467763	True	34.66098804268381	1.4366477467607487e-07	C3	-3.0787709289902754	-0.48384103849773286	-5.137651468939821	-0.9872069048998349	-0.8193539961131339	-0.1538138259865609	0.0029985007496251873	0.008048607275309714	DESCRIPTIVE	|d|<0.5
M3_SOX9	506	8.048453155611263	5.575413665633707	3	499	0.000908851734570541	0.001468145109690874	True	39.00489446292977	1.7315262676025033e-08	C1	0.6311961006833138	0.07842452313252928	-1.002259717913282	2.3397904191980827	-0.12502128243401814	0.2923974580482945	0.43228385807096453	0.5249161133718856	CAT5_CLEAN_NULL	H3 equivalence (C1) CI-in-SESOI
M3_SOX9	506	8.048453155611263	5.575413665633707	3	499	0.000908851734570541	0.001468145109690874	True	39.00489446292977	1.7315262676025033e-08	C2	-4.242428087949566	-0.5271109871580488	-6.308537208607657	-2.3181196443007397	-0.8049003736154324	-0.2865659764584904	0.0004997501249375312	0.001960558182447238	CAT2_DEPLETION	
M3_SOX9	506	8.048453155611263	5.575413665633707	3	499	0.000908851734570541	0.001468145109690874	True	39.00489446292977	1.7315262676025033e-08	C3	-2.6298890577118286	-0.3267570807538724	-4.8842285013992495	-0.2760050584377259	-0.6146537271735952	-0.03409787690176901	0.05347326336831584	0.09739772970657527	DESCRIPTIVE	F2 q>0.05; |d|<0.5
M3_TBX18	506	3.7313333808622704	6.041678275090057	3	499	0.0004787756137937772	0.0009140261717881202	True	20.74061664554256	0.00011917446620030202	C1	-1.6588755921139857	-0.44457983856983524	-2.3851305086753007	-0.9285359039211086	-0.6540439622911174	-0.2483090769948299	0.0004997501249375312	0.001960558182447238	DESCRIPTIVE	|d|<0.5
M3_TBX18	506	3.7313333808622704	6.041678275090057	3	499	0.0004787756137937772	0.0009140261717881202	True	20.74061664554256	0.00011917446620030202	C2	0.4636378273307251	0.12425526748928113	-0.5431314456757471	1.436398394210972	-0.14625436393256283	0.38896573566051407	0.3028485757121439	0.4165154264972777	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_TBX18	506	3.7313333808622704	6.041678275090057	3	499	0.0004787756137937772	0.0009140261717881202	True	20.74061664554256	0.00011917446620030202	C3	0.8953330124960708	0.23994988415888185	-0.28350955958151164	2.0941162039515224	-0.07615991974784693	0.5665862260004542	0.14942528735632185	0.23092998955067923	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_WT1	506	9.901361371130976	7.465678689313344	3	499	6.742959611938617e-05	0.00020228878835815852	True	22.921311915044043	4.193717145299561e-05	C1	-1.0870287354396027	-0.10978578547885456	-3.210161945556156	1.0262150966242811	-0.3269937976062832	0.10274348895215568	0.28085957021489255	0.39788439113776447	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
M3_WT1	506	9.901361371130976	7.465678689313344	3	499	6.742959611938617e-05	0.00020228878835815852	True	22.921311915044043	4.193717145299561e-05	C2	-5.851230229526429	-0.5909520933744161	-8.45261359689487	-3.47697712728025	-0.8780963850878176	-0.34903964823632033	0.0004997501249375312	0.001960558182447238	CAT2_DEPLETION	
M3_WT1	506	9.901361371130976	7.465678689313344	3	499	6.742959611938617e-05	0.00020228878835815852	True	22.921311915044043	4.193717145299561e-05	C3	-1.6743109098277529	-0.16909906093413354	-5.005188548473856	1.77716656421348	-0.5088228688916628	0.18066444800783904	0.3103448275862069	0.4165154264972777	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
