module	n	contrast	omnibus_F	omnibus_p_F	omnibus_BH_q_F1	F1_gate_pass	estimate	d	d_ci_lo	d_ci_hi	perm_p	BH_q_F2	b3_category
M3_MSX2	506	C1	10.12821922773516	1.737054556870583e-06	8.685272784352915e-06	True	-0.07751232496526517	-0.4633909216615741	-0.702763664175065	-0.2536393771459269	0.0004997501249375312	0.003248375812093953	DESCRIPTIVE
M3_MSX2	506	C2	10.12821922773516	1.737054556870583e-06	8.685272784352915e-06	True	-0.01098058311844019	-0.06564507688184675	-0.33520498727582676	0.19427467209523697	0.5707146426786607	0.6359391732705076	DESCRIPTIVE
M3_MSX2	506	C3	10.12821922773516	1.737054556870583e-06	8.685272784352915e-06	True	-0.059672935588552356	-0.35674193275743427	-0.7220725579847058	0.0005099687510873132	0.0399800099950025	0.07424858999071893	DESCRIPTIVE
M3_PAX2	506	C1	13.73703516764494	1.2720348352030371e-08	8.480232234686913e-08	True	-0.11559648606988004	-0.6770702202114295	-0.9043214053072984	-0.4710494574112869	0.0004997501249375312	0.003248375812093953	CAT2_DEPLETION
M3_PAX2	506	C2	13.73703516764494	1.2720348352030371e-08	8.480232234686913e-08	True	0.014013017386858895	0.08207686142130313	-0.1701119235444873	0.3416321516974694	0.5012493753123438	0.5923856253691336	DESCRIPTIVE
M3_PAX2	506	C3	13.73703516764494	1.2720348352030371e-08	8.480232234686913e-08	True	0.06219968478749893	0.3643151769396783	0.009080126317289524	0.7175327387743387	0.029985007496251874	0.06154817328178016	DESCRIPTIVE
M3_PAX8	506	C1	0.5888961829883091	0.6225076339802686	0.6552711936634408	False	0.010233443821869304	0.05018639984157023	-0.1628648937318827	0.2797949255725777			DESCRIPTIVE
M3_PAX8	506	C2	0.5888961829883091	0.6225076339802686	0.6552711936634408	False	-0.032576467852253155	-0.15976006411110538	-0.4403652098735126	0.1070692894575869			DESCRIPTIVE
M3_PAX8	506	C3	0.5888961829883091	0.6225076339802686	0.6552711936634408	False	-0.00846587950235278	-0.04151798955574083	-0.38457410627738575	0.3319389896688359			DESCRIPTIVE
M3_SALL1	506	C1	6.069420967637579	0.00046084998929463985	0.0013167142551275424	True	0.11416066609805609	0.41933136941892896	0.20451046153811026	0.6512082191740813	0.0009995002498750624	0.004331167749458604	DESCRIPTIVE
M3_SALL1	506	C2	6.069420967637579	0.00046084998929463985	0.0013167142551275424	True	0.013145657155095858	0.048286214553297464	-0.22332994236157921	0.29864900729394284	0.6926536731634183	0.7503748125937031	DESCRIPTIVE
M3_SALL1	506	C3	6.069420967637579	0.00046084998929463985	0.0013167142551275424	True	-0.09539371287594345	-0.35039718688980764	-0.7170536489453854	0.025626954867769763	0.034482758620689655	0.06724137931034482	DESCRIPTIVE
M3_SIX1	506	C1	1.962617172601733	0.11866295277476496	0.15821727036635327	False	-0.021263329818176302	-0.16117135087004972	-0.4164323386449863	0.07316592731389862			DESCRIPTIVE
M3_SIX1	506	C2	1.962617172601733	0.11866295277476496	0.15821727036635327	False	-0.021701355139850775	-0.16449148621165624	-0.4048837093209179	0.0908666148915337			DESCRIPTIVE
M3_SIX1	506	C3	1.962617172601733	0.11866295277476496	0.15821727036635327	False	0.023965081937901145	0.18165003612657274	-0.16543943245483786	0.5304998938955781			DESCRIPTIVE
M3_SOX17	506	C1	9.854722342038748	2.527190015325522e-06	1.0108760061302088e-05	True	-0.027218893140735556	-0.15733414946622704	-0.3795627989401238	0.06044547470644952	0.11344327836081959	0.18434532733633183	DESCRIPTIVE
M3_SOX17	506	C2	9.854722342038748	2.527190015325522e-06	1.0108760061302088e-05	True	0.04718944836483044	0.27277052317566786	0.04909214374496316	0.5222762295728407	0.0239880059970015	0.051974012993503245	DESCRIPTIVE
M3_SOX17	506	C3	9.854722342038748	2.527190015325522e-06	1.0108760061302088e-05	True	-0.09481513430716365	-0.5480626429448021	-0.8758416356755423	-0.236970295045327	0.0009995002498750624	0.004331167749458604	CAT2_DEPLETION
M3_SOX9	506	C1	3.2847457017683674	0.02064519264527696	0.03176183483888763	True	0.030964517536438474	0.19651003197420042	-0.022123181548942952	0.4331464743797909	0.06196901549225387	0.10507789583469135	DESCRIPTIVE
M3_SOX9	506	C2	3.2847457017683674	0.02064519264527696	0.03176183483888763	True	-0.053888447369381365	-0.34199210445102135	-0.6075616988987009	-0.08450837432899601	0.005497251374312844	0.015313771685585778	DESCRIPTIVE
M3_SOX9	506	C3	3.2847457017683674	0.02064519264527696	0.03176183483888763	True	-0.02847160782835223	-0.1806892859907263	-0.5080174828261146	0.14834574754385418	0.28785607196401797	0.37421289355322335	DESCRIPTIVE
M3_TBX18	506	C1	1.35935802576313	0.25447090356790447	0.29937753360929936	False	-0.017584742617267196	-0.08614300325103585	-0.3018054895849592	0.12655771966551596			DESCRIPTIVE
M3_TBX18	506	C2	1.35935802576313	0.25447090356790447	0.29937753360929936	False	0.031214832642779994	0.15291320938568387	-0.08916172351375115	0.4017229045338339			DESCRIPTIVE
M3_TBX18	506	C3	1.35935802576313	0.25447090356790447	0.29937753360929936	False	0.0656393576970434	0.32154985299244876	0.017506718701593888	0.6434715257178183			DESCRIPTIVE
M3_WT1	506	C1	1.010482924110111	0.3877405211363342	0.4308228012625936	False	-0.011378344954325825	-0.06774375148595105	-0.27933770822739723	0.1408338091082621			DESCRIPTIVE
M3_WT1	506	C2	1.010482924110111	0.3877405211363342	0.4308228012625936	False	-0.03273695229510026	-0.1949074289440989	-0.4378596408427546	0.039620374764895376			DESCRIPTIVE
M3_WT1	506	C3	1.010482924110111	0.3877405211363342	0.4308228012625936	False	-0.023898515939024256	-0.14228564269716543	-0.4353943169186361	0.1493414801915064			DESCRIPTIVE
