cohort	base_specification	node	model	target	contrast	n	p_design	coefficient	se	t	residual_df	ci_lo	ci_hi	raw_p	direction	residual_sd	d	d_ci_lo	d_ci_hi	coefficient_boot_ci_lo	coefficient_boot_ci_hi	bootstrap_attempts	bootstrap_valid	diagnostic_permutations	permutation_p	interpretability
TCGA-UCEC	primary_cpe	histology_matched	base_refit	HOXA9	C2	505	7	-3.06829580434135	0.62206998139432901	-4.9323965086114052	498	-4.290500946920524	-1.8460906617621757	1.1088669967572555e-06	negative	4.7675806807297603	-0.64357501420860996	-0.93516006540128216	-0.36489860337354085	-4.3182071564200388	-1.7535026754460561	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	histology_matched	base_plus_binary_histology	HOXA9	C2	505	8	-3.0895776636781869	0.6212672680054202	-4.9730250132077325	497	-4.3102116671910462	-1.868943660165328	9.0931140178794296e-07	negative	4.7603200549751117	-0.64902729816437521	-0.93398452161455492	-0.39791649593459461	-4.3306244248998542	-1.9088146074439094	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	histology_matched	base_refit	WT1	C2	505	7	-5.8817744140076469	1.290994173232699	-4.5560038425885825	498	-8.4182409929415556	-3.3453078350737377	6.5652762361189338e-06	negative	9.8942547676759105	-0.59446361066253739	-0.8778286071448852	-0.32470067768721156	-8.5115605260904843	-3.2417212517730865	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	histology_matched	base_plus_binary_histology	WT1	C2	505	8	-5.8780514040662979	1.2925700861362621	-4.5475688066067752	497	-8.4176266888335967	-3.3384761192989996	6.825987548468558e-06	negative	9.9040262063857423	-0.59350119654129674	-0.87674966180974911	-0.34026749700156961	-8.4783318973380233	-3.3820246598779709	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	histology_matched	base_refit	PAX8	C2	505	7	-1.1814896566971094	0.62980744291017721	-1.8759537855534882	498	-2.4188968915456797	0.055917578151460923	0.061246330275656145	negative	4.8268810378345401	-0.24477289732981594	-0.51933069416900479	0.0093814782528957724	-2.4629244327484052	0.045796131622502657	2000	2000	2000	0.034982508745627187	PASS
TCGA-UCEC	primary_cpe	histology_matched	base_plus_binary_histology	PAX8	C2	505	8	-1.1221175642669747	0.61839083628618019	-1.8145766373350314	497	-2.3371001025472298	0.09286497401328031	0.070191732933365517	negative	4.7382800469060804	-0.23681959554072274	-0.49298700261093592	0.026076457181755854	-2.3102514317696889	0.12232809608781064	2000	2000	2000	0.044977511244377814	PASS
TCGA-UCEC	primary_cpe	histology_matched	base_refit	LHX1	C2	505	7	-0.88015971242545932	0.40491469851453216	-2.1736916828517425	498	-1.6757114053734075	-0.084608019477511065	0.030198683829252313	negative	3.1032899058308385	-0.2836214917503222	-0.52766736486668864	-0.04253927783890727	-1.6075093520790924	-0.13070538180761096	2000	2000	2000	0.016991504247876061	PASS
TCGA-UCEC	primary_cpe	histology_matched	base_plus_binary_histology	LHX1	C2	505	8	-0.84431920742425892	0.39851123205563888	-2.1186835890898497	497	-1.6272935981250942	-0.061344816723423734	0.034612694398089193	negative	3.0535022651004167	-0.27650845950706798	-0.52575487693296952	-0.038762407692456424	-1.5722521033492622	-0.11672907015503856	2000	2000	2000	0.02048975512243878	PASS
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	base_refit	GATA2	C2	380	7	-4.1037244655325313	1.0791107300352616	-3.8028761565538653	373	-6.2256276956702816	-1.9818212353947811	0.00016704714686763828	negative	7.8496189261816918	-0.52279282652116155	-0.83197223590327185	-0.25427093356770775	-6.3699742584497443	-1.9767418646347323	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	base_plus_binary_grade	GATA2	C2	380	8	-3.3618463951585635	1.0912025650395891	-3.0808637212437224	372	-5.5075451116879766	-1.216147678629151	0.0022176158424336402	negative	7.754953692789865	-0.43350953833344302	-0.7487051341467027	-0.15844292320438769	-5.6639596806689063	-1.2200297674468261	2000	2000	2000	0.0014992503748125937	PASS
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	base_refit	SOX9	C2	380	7	-4.8252399869435454	1.0758509962543576	-4.4850448656393116	373	-6.9407334581505662	-2.7097465157365241	9.7191964823373679e-06	negative	7.8259071167549976	-0.61657261132231855	-0.91140115579802072	-0.3311650862914246	-6.8851085006137058	-2.6060687369064266	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	base_plus_binary_grade	SOX9	C2	380	8	-4.3713614542449601	1.0971310121165918	-3.9843568415878639	372	-6.5287176408827534	-2.2140052676071669	8.1425796534261821e-05	negative	7.7970859549612275	-0.56064040841610774	-0.86592704242517027	-0.28822128766486688	-6.4834280024351001	-2.2842854906945362	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	base_refit	HOXA9	C2	380	7	-3.0450803778801787	0.66923983787761054	-4.5500584477116224	373	-4.3610363166029487	-1.7291244391574088	7.2655230519840372e-06	negative	4.8681544454545458	-0.62551022404874745	-0.93540454061455902	-0.36096443616063884	-4.3712831025240426	-1.7725873312326823	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	base_plus_binary_grade	HOXA9	C2	380	8	-2.8924779724216139	0.68491602389643924	-4.2231133036813908	372	-4.2392704750141093	-1.5456854698291187	3.0329661627176959e-05	negative	4.8675582508128912	-0.59423592351227938	-0.89037511097062072	-0.314044880251176	-4.1897704529938569	-1.5610556987475412	2000	2000	2000	0.00049975012493753122	PASS
