cohort	base_specification	node	target	n	base_beta	adjusted_beta	base_residual_sd	adjusted_residual_sd	base_d	adjusted_d	signed_delta_d	absolute_delta_d	magnitude_attenuation	percent_attenuation	beta_change	residual_scale_contribution	coefficient_contribution	decomposition_error	paired_bootstrap_attempts	paired_bootstrap_valid	signed_delta_d_ci_lo	signed_delta_d_ci_hi	taxonomy	interpretability
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	PAX8	380	-1.0288871982662242	-0.88277769410196383	4.7745958179869223	4.774340262222875	-0.21549199921597267	-0.1849004565273597	0.030591542688612972	0.030591542688612972	0.030591542688612972	14.196138510902761	0.14610950416426038	-1.1534624572415539e-05	0.030603077313185376	1.0408340855860843e-17	2000	2000	-0.027449649402445445	0.098553783999444561	largely_retained	PASS
TCGA-UCEC	primary_cpe	endometrioid_grade_matched	LHX1	380	-0.94719806780863169	-0.84903563094004975	2.9668835503215449	2.9660239602812832	-0.31925690770909304	-0.28625380047824406	0.033003107230848983	0.033003107230848983	0.033003107230848983	10.337476318890308	0.098162436868581948	-9.252455874481231e-05	0.033095631789593738	5.5511151231257827e-17	2000	2000	-0.031564077078508689	0.099092019902530915	largely_retained	PASS
TCGA-UCEC	no_purity	histology_matched	GATA2	506	-4.2709855464588848	-4.3043525936871116	7.8766691529122328	7.869911760675306	-0.54223244159998496	-0.54693784690131786	-0.0047054053013328989	0.0047054053013328989	-0.0047054053013328989	-0.86778380272646327	-0.033367047228226809	-0.00046558047954059484	-0.0042398248217923639	5.9847959921199845e-17	2000	2000	-0.028328667062315217	0.010706652569074732	amplified	PASS
TCGA-UCEC	no_purity	histology_matched	SOX9	506	-4.142328831479853	-4.156183300144396	8.1012619106095496	8.106922261817898	-0.51131896205639138	-0.51267092071663856	-0.0013519586602471767	0.0013519586602471767	-0.0013519586602471767	-0.26440612622891041	-0.013854468664542985	0.00035700908572402216	-0.0017089677459712382	3.9248118643975261e-17	2000	2000	-0.02277558881235861	0.0086743383248505633	amplified	PASS
TCGA-UCEC	no_purity	histology_matched	HOXA9	506	-2.9509299287278861	-2.977408963544486	4.8229178872835279	4.8126753058618448	-0.61185572669784249	-0.61865984599418078	-0.0068041192963382846	0.0068041192963382846	-0.0068041192963382846	-1.1120463533225073	-0.026479034816599967	-0.001302182611694739	-0.0055019366846436671	1.214306433183765e-16	2000	2000	-0.036287030365568185	0.011957707878669437	amplified	PASS
TCGA-UCEC	no_purity	histology_matched	WT1	506	-5.9467855417509323	-5.941940637826689	9.8799551757475417	9.8896040293417808	-0.6019041013818146	-0.60082695123054031	0.0010771501512742976	0.0010771501512742976	0.0010771501512742976	0.17895710442933388	0.0048449039242433045	0.00058725147485926184	0.00048989867641503185	3.903127820947816e-18	2000	2000	-0.011277832668227437	0.013584772623989791	largely_retained	PASS
TCGA-UCEC	no_purity	histology_matched	PAX8	506	-1.2305445509215409	-1.1641640994330571	4.8248560146963255	4.7342042745305264	-0.25504275094911633	-0.2459049149391643	0.0091378360099520217	0.0091378360099520217	0.0091378360099520217	3.582864431922284	0.066380451488483816	-0.0048836230651459799	0.014021459075098004	3.4694469519536142e-18	2000	2000	-0.036226357447065552	0.058279209193993979	largely_retained	PASS
TCGA-UCEC	no_purity	histology_matched	LHX1	506	-0.90609692029500355	-0.8660098423722995	3.1010219516026005	3.0500116364565386	-0.29219300425356065	-0.28393656995303068	0.008256434300529969	0.008256434300529969	0.008256434300529969	2.8256782949413672	0.040087077922704051	-0.0048868197918631815	0.013143254092393124	2.6020852139652106e-17	2000	2000	-0.032925897922894763	0.055188250011878756	largely_retained	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	GATA2	381	-4.0061442593339933	-3.2583602794693176	7.848860077482648	7.7505802901495606	-0.51041096666089092	-0.42040210635717989	0.090008860303711025	0.090008860303711025	0.090008860303711025	17.634585889200046	0.74778397986467571	-0.0064721710346851893	0.096481031338396209	0	2000	2000	0.029389000424207976	0.16510298533994641	largely_retained	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	SOX9	381	-4.6954628699776721	-4.2166130386587231	7.8717301554535721	7.8379592702029095	-0.59649692980451485	-0.53797332868119929	0.058523601123315561	0.058523601123315561	0.058523601123315561	9.8112158167343857	0.47884983131894909	-0.0025700859974331935	0.061093687120748794	4.163336342344337e-17	2000	2000	0.0039399030720469906	0.12748048556622099	largely_retained	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	HOXA9	381	-2.9311544833108236	-2.7604420548186677	4.906460552096072	4.9040021418499942	-0.59740712315695987	-0.56289576859306056	0.03451135456389931	0.03451135456389931	0.03451135456389931	5.7768568914153979	0.17071242849215595	-0.00029948432936345115	0.034810838893262822	6.2450045135165055e-17	2000	2000	-0.029064689909304157	0.10140484317386761	largely_retained	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	WT1	381	-5.7738795845513815	-5.8813588873203431	9.8521403519751658	9.8635250420028182	-0.58605332225030971	-0.59627352921751342	-0.010220206967203715	0.010220206967203715	-0.010220206967203715	-1.7439039382902013	-0.10747930276896156	0.00067643518773294136	-0.010896642154936687	2.9490299091605721e-17	2000	2000	-0.082058553844402179	0.048358666783176525	amplified	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	PAX8	381	-1.0656647311742007	-0.92437244826009324	4.7652993345122763	4.7653100418714924	-0.22363017648360811	-0.19397949769015702	0.029650678793451096	0.029650678793451096	0.029650678793451096	13.258800426526722	0.14129228291410745	5.0248328231075328e-07	0.029650176310168766	2.0816681711721685e-17	2000	2000	-0.027865722810218652	0.094710013528333539	largely_retained	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	LHX1	381	-0.93877391497653395	-0.83950893533628745	2.9599700787072605	2.9588732769280406	-0.31715655564549988	-0.28372588372824192	0.033430671917257959	0.033430671917257959	0.033430671917257959	10.54074756525762	0.099264979640246498	-0.00011756430301889908	0.033548236220276834	2.7755575615628914e-17	2000	2000	-0.023111002248873837	0.096738070523707601	largely_retained	PASS
