config	module	contrast	n	sigma_resid	omnibus_F	omnibus_p_F	omnibus_BH_q_F1	F1_gate_pass	estimate	d	est_ci_lo	est_ci_hi	d_ci_lo	d_ci_hi	perm_p	BH_q_F2	b3_category	category_reason
PRIMARY	M3_SIX1	C3	506	4.4573520536466207	6.5490629321056417	0.00023818723298096335	0.00058129996988130425	True	-0.062223385047698088	-0.013959719649425556	-1.5893158298421095	1.4903314132010321	-0.36043657164080328	0.33724854429682261	0.92853573213393303	0.9471064467766116	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_SOX17	C1	506	6.3631868403504628	5.3590192951609277	0.00122333258905545	0.0017126656246776301	True	-1.3011667189161742	-0.20448350041604474	-2.6037491307537319	-0.034444118381793946	-0.41167811506340918	-0.0055135381500803328	0.043478260869565216	0.085284280936454848	DESCRIPTIVE	F2 q>0.05; |d|<0.5
PRIMARY	M3_SOX17	C2	506	6.3631868403504628	5.3590192951609277	0.00122333258905545	0.0017126656246776301	True	-0.57838673437792298	-0.090895764793552311	-2.1714701977856676	1.1149518405372474	-0.34306500293487874	0.17760586836032238	0.45577211394302847	0.54056692583940591	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_SOX17	C3	506	6.3631868403504628	5.3590192951609277	0.00122333258905545	0.0017126656246776301	True	-3.0787709289902754	-0.48384103849773286	-5.1376514689398212	-0.98720690489983487	-0.81935399611313386	-0.1538138259865609	0.0029985007496251873	0.0080486072753097136	DESCRIPTIVE	|d|<0.5
PRIMARY	M3_SOX9	C1	506	8.0484531556112628	5.5754136656337074	0.00090885173457054102	0.0014681451096908739	True	0.63119610068331378	0.078424523132529275	-1.0022597179132819	2.3397904191980827	-0.12502128243401814	0.29239745804829448	0.43228385807096453	0.5249161133718856	CAT5_CLEAN_NULL	H3 equivalence (C1) CI-in-SESOI
PRIMARY	M3_SOX9	C2	506	8.0484531556112628	5.5754136656337074	0.00090885173457054102	0.0014681451096908739	True	-4.2424280879495662	-0.52711098715804883	-6.3085372086076568	-2.3181196443007397	-0.80490037361543243	-0.28656597645849041	0.00049975012493753122	0.0019605581824472381	CAT2_DEPLETION	
PRIMARY	M3_SOX9	C3	506	8.0484531556112628	5.5754136656337074	0.00090885173457054102	0.0014681451096908739	True	-2.6298890577118286	-0.32675708075387239	-4.8842285013992495	-0.27600505843772588	-0.61465372717359523	-0.034097876901769013	0.053473263368315843	0.097397729706575273	DESCRIPTIVE	F2 q>0.05; |d|<0.5
PRIMARY	M3_TBX18	C1	506	3.7313333808622704	6.0416782750900566	0.00047877561379377722	0.00091402617178812015	True	-1.6588755921139857	-0.44457983856983524	-2.3851305086753007	-0.92853590392110863	-0.65404396229111739	-0.2483090769948299	0.00049975012493753122	0.0019605581824472381	DESCRIPTIVE	|d|<0.5
PRIMARY	M3_TBX18	C2	506	3.7313333808622704	6.0416782750900566	0.00047877561379377722	0.00091402617178812015	True	0.46363782733072512	0.12425526748928113	-0.54313144567574712	1.4363983942109719	-0.14625436393256283	0.38896573566051407	0.30284857571214391	0.41651542649727769	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_TBX18	C3	506	3.7313333808622704	6.0416782750900566	0.00047877561379377722	0.00091402617178812015	True	0.89533301249607078	0.23994988415888185	-0.28350955958151164	2.0941162039515224	-0.07615991974784693	0.56658622600045416	0.14942528735632185	0.23092998955067923	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
PRIMARY	M3_WT1	C1	506	9.9013613711309763	7.4656786893133438	6.7429596119386175e-05	0.00020228878835815852	True	-1.0870287354396027	-0.10978578547885456	-3.2101619455561559	1.0262150966242811	-0.32699379760628322	0.10274348895215568	0.28085957021489255	0.39788439113776447	DESCRIPTIVE	F2 q>0.05; |d|<0.5; bootstrap CI includes 0
