target	model	contrast	coefficient	coefficient_SE	residual_SD	d	d_boot_CI_lo	d_boot_CI_hi	perm_p_raw	BH18_q_descriptive	n_POLE	n_MMRd	n_NSMP	n_p53abn	interpretation_state
LHX1	CPTAC_DISCOVERY_N95	POLE_vs_NSMP	-2.315943012746407	1.2396546200923846	2.8229006534790497	-0.8204125107598637	-2.1505148735658337	0.46839113958033807	0.04297851074462768	0.12893553223388304	7	25	43	20	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
LHX1	CPTAC_DISCOVERY_N95	MMRd_vs_NSMP	-1.7800437368363844	0.825708831986593	2.8229006534790497	-0.6305725759929209	-1.2940273660182955	-0.03186852619730178	0.01899050474762619	0.08545727136431785	7	25	43	20	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
LHX1	CPTAC_DISCOVERY_N95	POLE_vs_MMRd	-0.5358992759100225	1.2097990509694896	2.8229006534790497	-0.18983993476694264	-1.3988551663110969	1.1251209071481227	0.6676661669165417	0.7511244377811094	7	25	43	20	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
GATA2	CPTAC_CONFIRMATORY_N135	POLE_vs_NSMP	-10.508078623545487	3.216135179163374	7.386162784162957	-1.4226708685701304	-2.253073708074811	-0.6411598032542816	0.0004997501249375312	0.008995502248875561	6	47	66	16	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
GATA2	CPTAC_CONFIRMATORY_N135	MMRd_vs_NSMP	-4.244546656266749	1.6387035639238108	7.386162784162957	-0.5746619429194947	-1.0628635374228652	-0.14749846242125927	0.0034982508745627187	0.012593703148425789	6	47	66	16	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
GATA2	CPTAC_CONFIRMATORY_N135	POLE_vs_MMRd	-6.2635319672787375	3.2151819011673113	7.386162784162957	-0.8480089256506357	-1.6799162967407104	0.03178927998917292	0.0559720139930035	0.16791604197901053	6	47	66	16	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
SOX9	CPTAC_CONFIRMATORY_N135	POLE_vs_NSMP	-5.233059695973267	3.189431264026598	7.3248346828279844	-0.7144270038259593	-1.7560599931011158	0.3017982811735521	0.10494752623688156	0.2098950524737631	6	47	66	16	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
SOX9	CPTAC_CONFIRMATORY_N135	MMRd_vs_NSMP	-4.1548326079251545	1.6250972325765258	7.3248346828279844	-0.5672254443729029	-1.0921153911592996	-0.12919995904919182	0.0034982508745627187	0.012593703148425789	6	47	66	16	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
SOX9	CPTAC_CONFIRMATORY_N135	POLE_vs_MMRd	-1.0782270880481128	3.18848590119992	7.3248346828279844	-0.14720155945305638	-1.1467354296859396	0.8924465222583968	0.7491254372813593	0.8185907046476762	6	47	66	16	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
HOXA9	CPTAC_CONFIRMATORY_N135	POLE_vs_NSMP	-1.9480910488467973	1.914454639611869	4.396728627167876	-0.4430773909513827	-1.5795759920233763	0.5104872021831612	0.2888555722138931	0.4332833583208396	6	47	66	16	OPPOSITE_DIRECTION_POINT_HETEROGENEITY_UNRESOLVED
HOXA9	CPTAC_CONFIRMATORY_N135	MMRd_vs_NSMP	0.23481141879332257	0.9754638614781552	4.396728627167876	0.05340593852947772	-0.41592535669825087	0.5061567544889122	0.767616191904048	0.8185907046476762	6	47	66	16	OPPOSITE_DIRECTION_POINT_HETEROGENEITY_UNRESOLVED
HOXA9	CPTAC_CONFIRMATORY_N135	POLE_vs_MMRd	-2.18290246764012	1.913887186012833	4.396728627167876	-0.49648332948086044	-1.6961958025043486	0.523124167948351	0.23938030984507747	0.39171323429194493	6	47	66	16	OPPOSITE_DIRECTION_POINT_HETEROGENEITY_UNRESOLVED
WT1	CPTAC_CONFIRMATORY_N135	POLE_vs_NSMP	-1.1424745274356678	4.03610578312471	9.26930389039666	-0.12325354103659428	-0.9322235131955421	0.6501193198602954	0.7731134432783608	0.8185907046476762	6	47	66	16	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
WT1	CPTAC_CONFIRMATORY_N135	MMRd_vs_NSMP	-0.9975468332301178	2.056499668928867	9.26930389039666	-0.10761831147467428	-0.5847008095620971	0.33753586157859294	0.5857071464267866	0.8109791258217045	6	47	66	16	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
WT1	CPTAC_CONFIRMATORY_N135	POLE_vs_MMRd	-0.14492769420554996	4.034909461882443	9.26930389039666	-0.015635229561920004	-0.8042067534242621	0.8351882497677439	0.9710144927536232	0.9710144927536233	6	47	66	16	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
PAX8	CPTAC_CONFIRMATORY_N135	POLE_vs_NSMP	-3.2614964374119553	1.979063465900733	4.545108991076397	-0.7175837683574559	-1.4852371818544579	0.0030653208495380634	0.09495252373813093	0.2098950524737631	6	47	66	16	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
PAX8	CPTAC_CONFIRMATORY_N135	MMRd_vs_NSMP	-0.2898804034744509	1.0083837196316414	4.545108991076397	-0.06377853733399688	-0.5142329199073196	0.3872906359347292	0.7276361819090454	0.8185907046476762	6	47	66	16	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
PAX8	CPTAC_CONFIRMATORY_N135	POLE_vs_MMRd	-2.9716160339375044	1.9784768619336244	4.545108991076397	-0.653805231023459	-1.3902053650975092	0.1314497757620948	0.14492753623188406	0.2608695652173913	6	47	66	16	SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
LHX1	CPTAC_CONFIRMATORY_N135	POLE_vs_NSMP	-4.149778820914196	1.298258396733452	2.981574877917337	-1.3918076824597012	-2.0632982872273047	-0.8873264540520779	0.0014992503748125937	0.012593703148425789	6	47	66	16	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
LHX1	CPTAC_CONFIRMATORY_N135	MMRd_vs_NSMP	-1.8341898830962604	0.6614960326930486	2.981574877917337	-0.6151748516131388	-1.1151652935041663	-0.17761512196113424	0.0029985007496251873	0.012593703148425789	6	47	66	16	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
LHX1	CPTAC_CONFIRMATORY_N135	POLE_vs_MMRd	-2.3155889378179353	1.29787358667608	2.981574877917337	-0.7766328308465624	-1.325503906683183	-0.27989153337527767	0.07496251874062969	0.1927607624759049	6	47	66	16	SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
GATA2	CPTAC_FIXED_EFFECT_META	POLE_vs_NSMP	NA	NA	NA	-1.0711602288477375	-1.6981313629204728	-0.44418909477500235	0.0008122166123789822	0.0073099495114108395	13	72	109	36	CPTAC_META_SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
GATA2	CPTAC_FIXED_EFFECT_META	MMRd_vs_NSMP	NA	NA	NA	-0.6199066525179047	-1.0229648416481991	-0.2168484633876102	0.00257407152596932	0.008145453942437573	13	72	109	36	CPTAC_META_SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
GATA2	CPTAC_FIXED_EFFECT_META	POLE_vs_MMRd	NA	NA	NA	-0.4373895626964306	-1.075508141963025	0.20072901657016373	0.1791247147737236	0.23894558655261824	13	72	109	36	CPTAC_META_SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
SOX9	CPTAC_FIXED_EFFECT_META	POLE_vs_NSMP	NA	NA	NA	-1.050099734192495	-1.705068977994828	-0.3951304903901619	0.0016755135339900885	0.007539810902955398	13	72	109	36	CPTAC_META_SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
SOX9	CPTAC_FIXED_EFFECT_META	MMRd_vs_NSMP	NA	NA	NA	-0.6070935787947469	-1.0039566288617774	-0.21023052872771636	0.0027151513141458576	0.008145453942437573	13	72	109	36	CPTAC_META_SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
SOX9	CPTAC_FIXED_EFFECT_META	POLE_vs_MMRd	NA	NA	NA	-0.43372191931544635	-1.0408278339619983	0.1733839953311057	0.16144098014052566	0.23894558655261824	13	72	109	36	CPTAC_META_SAME_DIRECTION_COMPATIBLE_BOTH_RESOLVED
HOXA9	CPTAC_FIXED_EFFECT_META	POLE_vs_NSMP	NA	NA	NA	-0.6761167223756436	-1.3858739760969372	0.03364053134565004	0.061887426253798665	0.1113973672568376	13	72	109	36	CPTAC_META_SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
HOXA9	CPTAC_FIXED_EFFECT_META	MMRd_vs_NSMP	NA	NA	NA	-0.021244333483800202	-0.40946978120504957	0.3669811142374491	0.9145871467183132	0.96838639064292	13	72	109	36	CPTAC_META_SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
HOXA9	CPTAC_FIXED_EFFECT_META	POLE_vs_MMRd	NA	NA	NA	-0.585312572242346	-1.2729492318077669	0.10232408732307474	0.09524799287991084	0.15586035198530865	13	72	109	36	CPTAC_META_SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
WT1	CPTAC_FIXED_EFFECT_META	POLE_vs_NSMP	NA	NA	NA	-0.077831989082431	-0.6352761954126873	0.47961221724782527	0.7843452070663433	0.8823883579496361	13	72	109	36	CPTAC_META_SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
WT1	CPTAC_FIXED_EFFECT_META	MMRd_vs_NSMP	NA	NA	NA	-0.24581810424576658	-0.6100023354154673	0.11836612692393414	0.18584656731870308	0.23894558655261824	13	72	109	36	CPTAC_META_SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
WT1	CPTAC_FIXED_EFFECT_META	POLE_vs_MMRd	NA	NA	NA	0.2187443116331519	-0.3452935686154166	0.7827821918817204	0.4471803396705566	0.536616407604668	13	72	109	36	CPTAC_META_SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED
PAX8	CPTAC_FIXED_EFFECT_META	POLE_vs_NSMP	NA	NA	NA	-0.6375005510755258	-1.1654525886671092	-0.10954851348394246	0.017947750437196864	0.03609968288202899	13	72	109	36	CPTAC_META_SAME_DIRECTION_MATERIALLY_DIFFERENT_POLE_DOMINANT
PAX8	CPTAC_FIXED_EFFECT_META	MMRd_vs_NSMP	NA	NA	NA	-0.006127150543136553	-0.3755991384556476	0.36334483736937445	0.9740703472626349	0.974070347262635	13	72	109	36	CPTAC_META_SAME_DIRECTION_MATERIALLY_DIFFERENT_POLE_DOMINANT
PAX8	CPTAC_FIXED_EFFECT_META	POLE_vs_MMRd	NA	NA	NA	-0.6630299964037166	-1.2126121825563123	-0.11344781025112105	0.018049841441014496	0.03609968288202899	13	72	109	36	CPTAC_META_SAME_DIRECTION_MATERIALLY_DIFFERENT_POLE_DOMINANT
LHX1	CPTAC_FIXED_EFFECT_META	POLE_vs_NSMP	NA	NA	NA	-1.2968529275449043	-1.841654730882461	-0.7520511242073479	3.0770558800832025e-06	5.5387005841497645e-05	13	72	109	36	CPTAC_META_SAME_DIRECTION_MATERIALLY_DIFFERENT_POLE_DOMINANT
LHX1	CPTAC_FIXED_EFFECT_META	MMRd_vs_NSMP	NA	NA	NA	-0.6206508528144153	-0.9985646418949798	-0.24273706373385084	0.0012867269549353916	0.007539810902955398	13	72	109	36	CPTAC_META_SAME_DIRECTION_MATERIALLY_DIFFERENT_POLE_DOMINANT
LHX1	CPTAC_FIXED_EFFECT_META	POLE_vs_MMRd	NA	NA	NA	-0.6862264091207819	-1.1736945332723066	-0.1987582849692573	0.005794971327275581	0.01490135484156578	13	72	109	36	CPTAC_META_SAME_DIRECTION_MATERIALLY_DIFFERENT_POLE_DOMINANT
