target	contrast	d_FE	SE_FE	CI_lo	CI_hi	p_raw	discovery_coefficient	discovery_coefficient_SE	discovery_residual_SD	discovery_d	discovery_d_boot_CI_lo	discovery_d_boot_CI_hi	discovery_boot_SE_d	confirmatory_coefficient	confirmatory_coefficient_SE	confirmatory_residual_SD	confirmatory_d	confirmatory_d_boot_CI_lo	confirmatory_d_boot_CI_hi	confirmatory_boot_SE_d	weight_discovery	weight_confirmatory	weight_fraction_discovery	weight_fraction_confirmatory	opposite_direction_flag	meta_C2_direct_minus_reconstruction	interpretation_state	BH18_q_descriptive
HOXA9	POLE_vs_MMRd	-0.585312572242346	0.3508350303905208	-1.2729492318077669	0.10232408732307474	0.09524799287991084	-2.6907161436303317	1.7915796777507058	4.180406191449227	-0.6436494494563787	-1.6519885883395333	0.16734191449495134	0.4515739601550188	-2.18290246764012	1.913887186012833	4.396728627167876	-0.49648332948086044	-1.6961958025043486	0.523124167948351	0.5572310160974102	4.903906926458434	3.220545479668188	0.6035984557876681	0.3964015442123318	False	0.014554267414479183	CPTAC_META_SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED	0.15586035198530865
HOXA9	FROZEN_C2	-0.3341262605152427	0.23735630082797765	-0.7993446101380789	0.1310920891075935	0.15922017664231836	-2.2994691887106895	1.2768039063083088	4.180406191449227	-0.550058794146396	-1.2571778627413388	0.2207597788864385	0.3790448001022479	-0.8566398150267374	1.1800814022323258	4.396728627167876	-0.1948357262109525	-0.8053252737878658	0.3582052661628163	0.3044334049199791	6.960155037644943	10.789849570546284	0.39212130877042073	0.6078786912295793	False	0.014554267414479183	CPTAC_META_SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED	NA
WT1	POLE_vs_NSMP	-0.077831989082431	0.28441030935217154	-0.6352761954126873	0.47961221724782527	0.7843452070663433	-0.23556070868336806	3.88671332994246	8.850695525309005	-0.026614937550362056	-0.8434709371781421	0.794626895900749	0.41484864212181677	-1.1424745274356678	4.03610578312471	9.26930389039666	-0.12325354103659428	-0.9322235131955421	0.6501193198602954	0.3906729759124016	5.810595644121528	6.551990492031387	0.4700145730130956	0.5299854269869044	False	-0.010348019201242481	CPTAC_META_SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED	0.8823883579496361
WT1	MMRd_vs_NSMP	-0.24581810424576658	0.18580828120903098	-0.6100023354154673	0.11836612692393414	0.18584656731870308	-4.27795186281273	2.588861019768828	8.850695525309005	-0.483346404876285	-1.0470505357350508	0.1696917311957702	0.30637138820906745	-0.9975468332301178	2.056499668928867	9.26930389039666	-0.10761831147467428	-0.5847008095620971	0.33753586157859294	0.2336922013048781	10.653776731729629	18.31097884912332	0.36781863054188074	0.6321813694581193	False	-0.010348019201242481	CPTAC_META_SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED	0.23894558655261824
WT1	POLE_vs_MMRd	0.2187443116331519	0.2877744286982492	-0.3452935686154166	0.7827821918817204	0.4471803396705566	4.042391154129362	3.7931065812544045	8.850695525309005	0.4567314673259229	-0.3463439273881363	1.2888703366754406	0.4085375556135376	-0.14492769420554996	4.034909461882443	9.26930389039666	-0.015635229561920004	-0.8042067534242621	0.8351882497677439	0.40542924877803355	5.991506404092565	6.083728810776395	0.49618134118951684	0.503818658810483	True	-0.010348019201242481	CPTAC_META_SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED	0.536616407604668
WT1	FROZEN_C2	-0.17217306586534128	0.19262245945620188	-0.549713086399497	0.2053669546688144	0.3714091522761773	-2.256756285748049	2.7032307634063693	8.850695525309005	-0.2549806712133235	-0.8194779975729375	0.3724951110855877	0.30208554766003304	-1.0700106803328928	2.4878799808353933	9.26930389039666	-0.11543592625563429	-0.6456387820640298	0.3523107453312753	0.25005097597951026	10.958222225346967	15.993477069767028	0.4065874327758456	0.5934125672241544	False	-0.010348019201242481	CPTAC_META_SAME_DIRECTION_POINT_ESTIMATES_UNRESOLVED	NA
PAX8	POLE_vs_NSMP	-0.6375005510755258	0.26936328448550173	-1.1654525886671092	-0.10954851348394246	0.017947750437196864	-2.377080053193846	1.8670968119442493	4.251691338151332	-0.5590904569820957	-1.2796897699725662	0.19413387540756524	0.37894232240379433	-3.2614964374119553	1.979063465900733	4.545108991076397	-0.7175837683574559	-1.4852371818544579	0.0030653208495380634	0.3829639386412497	6.963920028097638	6.818427670555981	0.50527821386903	0.4947217861309699	False	0.0021627898495481523	CPTAC_META_SAME_DIRECTION_MATERIALLY_DIFFERENT_POLE_DOMINANT	0.03609968288202899
PAX8	MMRd_vs_NSMP	-0.006127150543136553	0.18850611628189337	-0.3755991384556476	0.36334483736937445	0.9740703472626349	0.4854445918531587	1.2436353665035225	4.251691338151332	0.11417681888079714	-0.5836919748803482	0.7314996492159791	0.3311891486112468	-0.2898804034744509	1.0083837196316414	4.545108991076397	-0.06377853733399688	-0.5142329199073196	0.3872906359347292	0.22926671032756932	9.116912833897938	19.024708057565856	0.3239654485098751	0.6760345514901249	True	0.0021627898495481523	CPTAC_META_SAME_DIRECTION_MATERIALLY_DIFFERENT_POLE_DOMINANT	0.974070347262635
PAX8	POLE_vs_MMRd	-0.6630299964037166	0.2803990745676508	-1.2126121825563123	-0.11344781025112105	0.018049841441014496	-2.8625246450470048	1.8221300631219166	4.251691338151332	-0.6732672758628928	-1.5043837626155097	0.10883980068809332	0.4072800578534656	-2.9716160339375044	1.9784768619336244	4.545108991076397	-0.653805231023459	-1.3902053650975092	0.1314497757620948	0.3866148495539258	6.028561678526814	6.690259111851457	0.473987469269745	0.5260125307302551	False	0.0021627898495481523	CPTAC_META_SAME_DIRECTION_MATERIALLY_DIFFERENT_POLE_DOMINANT	0.03609968288202899
PAX8	FROZEN_C2	-0.319651060959783	0.189638492309897	-0.6913425058871812	0.05204038396761507	0.09187650953399104	-0.9458177306703437	1.2985762292842862	4.251691338151332	-0.22245681905064926	-0.8042405942688632	0.32806274116303974	0.2918432910862117	-1.775688420443203	1.2199066729626913	4.545108991076397	-0.3906811528457264	-0.9016715988791638	0.07433269988802811	0.24948855867177772	11.740877901592656	16.06566592684965	0.42223434793012055	0.5777656520698794	False	0.0021627898495481523	CPTAC_META_SAME_DIRECTION_MATERIALLY_DIFFERENT_POLE_DOMINANT	NA
