module	gene	membership	status	reason	composition_signature	source
M1	NUAK2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	OCLN	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PAM	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PART1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PATZ1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PAX2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PAX8	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PAX8-AS1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PCP4	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PCSK1N	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PDE3A	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PIP5K1A	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PITPNA	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PKP2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PLEKHB2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PLEKHG1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PLLP	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PLPP2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PLXNB1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PNOC	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PPM1H	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PPP1R16A	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PPP1R9A	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PPP2R2B	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PRSS8	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PSAT1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	PTGS1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	RAB3IP	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	RAI2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	RASSF7	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	RBM47	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
